theta_min,theta_max,p_min,p_max,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0.0,10.0,0.0,,42.18120655,39.99833236,40.28557505,37.51398707,40.251054690000004,38.5374913,35.34435225,36.690048525,47.994164274999996,51.19070165,63.81951375,68.337920025,79.964185425,83.959578025,95.03453182499999,99.03692625,110.865974525,91.99881554,100.0230865,104.31103278,114.09568564,119.14774786,128.83542542,132.92116674,144.29914732,153.88276158,173.86476744,194.2288863,207.47540622,235.65486524,270.65056038,311.39226818,293.75998514,306.36939324
10.0,15.0,,,42.2500869,44.391175535,62.960009070000005,72.780261715,90.22783556499999,98.90208181,86.38364342499999,93.194884775,108.88476920000001,117.5108204,132.96718755,142.8279081,156.7250726,167.4926293,177.598651725,187.546629675,198.598403825,171.46660332,179.84275832,183.27479512,184.27064354,198.51987284,198.43733962,215.97631268,218.6890366,237.16599722,279.90616586,313.32415494,342.71258648,377.84997316,312.61986844,311.43035864,327.85335118,345.5794602
15.0,25.0,,,49.247691079999996,51.886296665,87.087013825,110.318865195,142.29345053,166.05960055999998,145.15278515,157.97902340000002,180.924222325,194.98521119999998,218.0868551,229.9883147,249.727106325,264.2389508,281.36563490000003,291.821753175,308.944851125,256.95788282,270.52189008,279.20700488,301.9266573,290.39913438,324.61738296,346.24138314,335.92803732,346.17618866,378.54465014,396.30747714,463.999151,401.35423752,431.80500132,574.50794414,486.16393316,535.00821254
25.0,30.0,,,62.416361595,66.360470015,131.912755695,175.953415785,232.33280311500002,273.819718935,241.74166305,267.010862125,291.31346895,313.359429675,342.707053425,359.93463537499997,385.76719812500005,405.564812875,421.9789187,438.2616005,466.61686084999997,386.20803058,374.96075568,388.29337906,429.50931066,390.06763468,438.19116752,464.7405765,568.6939048,485.65243752,573.81762394,701.475665,928.87184402,511.00383516,385.40012288,630.70933722,674.307605,647.1111921
30.0,40.0,,,70.66103653,78.72078977000001,161.474691525,226.82716588,337.171084985,397.891870495,339.8635845,367.49407007499997,404.18898475,429.158755825,473.64381690000005,479.65329554999994,520.010813525,534.9740297000001,571.772539675,592.497848325,622.955633775,514.04176614,555.93416778,549.50824192,560.53269064,588.90363034,581.74046048,629.825111,631.40280696,658.04719576,654.51003128,721.382755,687.7806938,624.83108448,832.83709096,609.02800942,722.36029888,917.6006406
40.0,50.0,,,97.90104702000001,104.82568656000001,239.90336660499997,380.69691555,535.0165871749999,631.63108414,492.346328125,544.126555275,587.0141188499999,615.0639093,660.538244375,684.16337725,721.39266265,761.166364425,784.141992225,805.88635055,850.187306475,707.02283444,707.00611892,711.17784758,781.07668044,818.38214634,831.77456544,840.38891846,896.84170504,1016.67467082,899.9271696,1116.79145474,1015.81917826,887.68574362,1342.21690498,1238.88667264,1490.90041812,1281.98311472
